Map,Winner,Team1StartingSide,Team2StartingSide,AverageACSTeam1,AverageACSTeam2,AverageKillsTeam1,AverageKillsTeam2,TotalFKTeam1,TotalFKTeam2,TotalFDTeam1,TotalFDTeam2,TotalKillsTeam1,TotalKillsTeam2,TotalDeathsTeam1,TotalDeathsTeam2,TotalFKFDTeam1,TotalFKFDTeam2,EntryFKFDTeam1,EntryFKFDTeam2,HsPercentageTeam1,HsPercentageTeam2
Haven,1,CT,T,212.2,184.0,15.8,13.2,12,9,9,12,79,66,66,79,3,-3,0.6,-0.6,30.4,25.0
Ascent,-1,CT,T,197.6,241.4,13.8,17.6,9,12,12,9,69,88,88,69,-3,3,-0.6,0.6,27.8,29.2
Split,-1,CT,T,175.6,208.2,14.2,17.6,11,13,13,11,71,88,88,71,-2,2,-0.4,0.4,29.2,22.8
Breeze,1,CT,T,211.4,190.6,17.2,15.0,12,11,11,12,86,75,75,86,1,-1,0.2,-0.2,24.4,33.0
Icebox,1,T,CT,211.0,198.8,21.6,21.2,15,15,15,15,108,106,106,108,0,0,0.0,0.0,21.8,25.2
Ascent,1,CT,T,195.4,142.8,13.8,8.4,7,8,8,7,69,42,42,69,-1,1,-0.2,0.2,19.6,22.4
Fracture,1,T,CT,201.2,201.2,17.8,18.2,15,11,11,15,89,91,91,89,4,-4,0.8,-0.8,21.6,31.6
Haven,-1,CT,T,175.6,229.4,9.4,13.8,4,12,12,4,47,69,69,47,-8,8,-1.6,1.6,23.6,23.8
Bind,-1,T,CT,175.0,214.2,11.6,15.0,12,8,8,12,58,75,75,58,4,-4,0.8,-0.8,24.2,24.6
Ascent,-1,CT,T,178.0,218.0,14.6,18.8,10,14,14,10,73,94,94,73,-4,4,-0.8,0.8,31.8,24.8
Split,-1,CT,T,175.6,208.2,14.2,17.6,11,13,13,11,71,88,88,71,-2,2,-0.4,0.4,29.2,22.8
Breeze,1,CT,T,211.4,190.6,17.2,15.0,12,11,11,12,86,75,75,86,1,-1,0.2,-0.2,24.4,33.0
Icebox,1,T,CT,211.0,198.8,21.6,21.2,15,15,15,15,108,106,106,108,0,0,0.0,0.0,21.8,25.2
Ascent,1,CT,T,195.4,142.8,13.8,8.4,7,8,8,7,69,42,42,69,-1,1,-0.2,0.2,19.6,22.4
Icebox,-1,T,CT,198.2,211.0,16.0,17.8,12,12,12,12,80,89,89,80,0,0,0.0,0.0,29.0,20.2
Haven,1,CT,T,212.2,184.0,15.8,13.2,12,9,9,12,79,66,66,79,3,-3,0.6,-0.6,30.4,25.0
Ascent,-1,CT,T,197.6,241.4,13.8,17.6,9,12,12,9,69,88,88,69,-3,3,-0.6,0.6,27.8,29.2
Haven,1,CT,T,211.6,192.0,15.2,13.2,9,11,11,9,76,66,66,76,-2,2,-0.4,0.4,30.6,20.4
Icebox,-1,T,CT,188.0,213.6,15.2,17.6,13,11,11,13,76,88,88,76,2,-2,0.4,-0.4,19.2,22.8
Ascent,-1,CT,T,205.0,178.4,17.2,14.8,11,13,13,11,86,74,74,86,-2,2,-0.4,0.4,22.2,25.4
Breeze,-1,T,CT,175.6,220.2,11.2,15.2,7,12,12,7,56,76,76,56,-5,5,-1.0,1.0,23.8,23.2
Split,1,T,CT,187.2,193.8,16.2,17.2,13,13,13,13,81,86,86,81,0,0,0.0,0.0,22.4,27.6
Fracture,-1,CT,T,185.4,217.2,14.2,17.6,10,13,13,10,71,88,88,71,-3,3,-0.6,0.6,23.2,24.6
Breeze,-1,CT,T,196.0,207.8,16.2,17.6,11,13,13,11,81,88,88,81,-2,2,-0.4,0.4,28.8,25.4
Haven,-1,T,CT,190.0,202.0,13.2,14.6,9,12,12,9,66,73,73,66,-3,3,-0.6,0.6,27.0,23.4
Fracture,1,CT,T,210.6,183.8,16.6,13.2,13,9,9,13,83,66,66,83,4,-4,0.8,-0.8,26.4,17.6
Icebox,-1,T,CT,182.8,211.0,14.0,17.0,14,9,9,14,70,85,85,70,5,-5,1.0,-1.0,27.4,22.2
Breeze,-1,CT,T,182.0,188.4,14.6,15.6,9,14,14,9,73,78,78,73,-5,5,-1.0,1.0,29.6,23.4
Icebox,1,CT,T,212.2,213.4,17.0,16.8,13,10,10,13,85,84,84,85,3,-3,0.6,-0.6,27.8,23.6
Split,-1,CT,T,178.8,227.2,11.8,16.4,10,10,10,10,59,82,82,59,0,0,0.0,0.0,20.2,24.0
Breeze,1,T,CT,231.6,171.2,14.0,8.6,10,6,6,10,70,43,43,70,4,-4,0.8,-0.8,24.4,19.6
Split,1,CT,T,216.4,192.6,16.6,14.6,12,10,10,12,83,73,73,83,2,-2,0.4,-0.4,26.2,20.4
Icebox,1,CT,T,244.4,168.2,15.0,9.2,13,4,4,13,75,46,46,75,9,-9,1.8,-1.8,24.6,23.2
Ascent,1,T,CT,239.0,176.6,15.6,10.6,11,7,7,11,78,53,53,78,4,-4,0.8,-0.8,24.8,31.4
Icebox,1,T,CT,223.8,145.0,14.0,8.0,11,6,6,11,70,40,40,70,5,-5,1.0,-1.0,25.6,25.4
Haven,1,CT,T,218.2,165.6,14.2,10.2,10,8,8,10,71,51,51,71,2,-2,0.4,-0.4,26.2,36.2
Breeze,1,CT,T,218.4,177.4,15.0,11.4,10,9,9,10,75,57,57,75,1,-1,0.2,-0.2,25.4,27.8
Bind,1,T,CT,219.2,177.6,15.8,13.0,14,7,7,14,79,65,65,79,7,-7,1.4,-1.4,25.6,30.0
Fracture,1,T,CT,222.6,189.6,17.6,15.4,12,11,11,12,88,77,77,88,1,-1,0.2,-0.2,29.8,22.2
Icebox,1,T,CT,235.6,176.6,15.8,11.0,13,6,6,13,79,55,55,79,7,-7,1.4,-1.4,28.8,23.0
Breeze,1,CT,T,206.2,209.8,26.6,27.4,17,21,21,17,133,137,137,133,-4,4,-0.8,0.8,23.2,24.2
Fracture,1,T,CT,220.0,189.8,17.8,15.0,12,11,11,12,89,75,75,89,1,-1,0.2,-0.2,23.6,20.8
Icebox,-1,CT,T,176.8,220.8,13.6,17.8,8,15,15,8,68,89,89,68,-7,7,-1.4,1.4,17.4,25.2
Haven,1,CT,T,209.2,199.4,17.6,17.0,15,9,9,15,88,85,85,88,6,-6,1.2,-1.2,22.8,25.6
Ascent,1,T,CT,210.4,191.2,16.0,14.2,14,8,8,14,80,71,71,80,6,-6,1.2,-1.2,21.6,23.0
Bind,1,CT,T,211.2,188.4,15.0,12.2,7,13,13,7,75,61,61,75,-6,6,-1.2,1.2,23.0,18.2
Icebox,1,CT,T,242.0,184.8,15.6,11.0,11,7,7,11,78,55,55,78,4,-4,0.8,-0.8,26.2,23.0
Ascent,-1,CT,T,203.2,210.8,18.8,21.0,13,15,15,13,94,105,105,94,-2,2,-0.4,0.4,22.0,24.4
Breeze,-1,T,CT,201.2,214.0,17.0,18.0,7,17,17,7,85,90,90,85,-10,10,-2.0,2.0,29.4,26.8
Icebox,1,T,CT,212.0,209.0,17.0,16.4,13,10,10,13,85,82,82,85,3,-3,0.6,-0.6,21.0,22.6
Haven,1,CT,T,196.8,189.8,16.4,15.8,12,12,12,12,82,79,79,82,0,0,0.0,0.0,30.8,19.0
Split,1,T,CT,223.6,179.0,15.6,11.0,12,7,7,12,78,55,55,78,5,-5,1.0,-1.0,22.8,18.0
Bind,1,T,CT,219.2,177.6,15.8,13.0,14,7,7,14,79,65,65,79,7,-7,1.4,-1.4,25.6,30.0
Fracture,1,T,CT,222.6,189.6,17.6,15.4,12,11,11,12,88,77,77,88,1,-1,0.2,-0.2,29.8,22.2
Icebox,1,T,CT,235.6,176.6,15.8,11.0,13,6,6,13,79,55,55,79,7,-7,1.4,-1.4,28.8,23.0
Ascent,-1,CT,T,203.2,210.8,18.8,21.0,13,15,15,13,94,105,105,94,-2,2,-0.4,0.4,22.0,24.4
Breeze,-1,T,CT,201.2,214.0,17.0,18.0,7,17,17,7,85,90,90,85,-10,10,-2.0,2.0,29.4,26.8
Icebox,1,T,CT,212.0,209.0,17.0,16.4,13,10,10,13,85,82,82,85,3,-3,0.6,-0.6,21.0,22.6
Haven,1,CT,T,196.8,189.8,16.4,15.8,12,12,12,12,82,79,79,82,0,0,0.0,0.0,30.8,19.0
