Map,Winner,Team1StartingSide,Team2StartingSide,AverageACSTeam1,AverageACSTeam2,AverageKillsTeam1,AverageKillsTeam2,TotalFKTeam1,TotalFKTeam2,TotalFDTeam1,TotalFDTeam2,TotalKillsTeam1,TotalKillsTeam2,TotalDeathsTeam1,TotalDeathsTeam2,TotalFKFDTeam1,TotalFKFDTeam2,EntryFKFDTeam1,EntryFKFDTeam2,HsPercentageTeam1,HsPercentageTeam2
Bind,1,T,CT,213.8,198.4,14.6,12.0,11,8,8,11,73,60,60,74,3,-3,0.6,-0.6,26.6,32.2
Ascent,1,T,CT,207.8,203.6,18.0,16.8,12,12,12,12,90,84,84,90,0,0,0.0,0.0,31.4,31.6
Breeze,-1,T,CT,205.0,215.6,15.2,17.2,12,10,10,12,76,86,86,76,2,-2,0.4,-0.4,32.8,31.8
Fracture,1,CT,T,230.8,161.0,14.2,9.4,11,6,6,11,71,47,47,71,5,-5,1.0,-1.0,25.0,29.8
Fracture,-1,T,CT,167.0,230.4,9.8,14.8,9,8,8,9,49,74,74,49,1,-1,0.2,-0.2,28.8,25.6
Haven,-1,T,CT,212.2,195.6,17.6,16.0,12,12,12,12,88,80,80,88,0,0,0.0,0.0,24.2,25.4
Split,-1,CT,T,157.4,235.2,8.2,14.8,6,11,11,6,41,74,74,41,-5,5,-1.0,1.0,22.0,28.2
Split,1,CT,T,196.6,190.8,19.0,18.8,15,13,13,15,95,94,94,96,2,-2,0.4,-0.4,18.4,27.4
Icebox,1,T,CT,225.4,166.0,14.2,10.0,10,8,8,10,71,50,50,71,2,-2,0.4,-0.4,27.2,26.0
Haven,1,T,CT,207.4,189.8,20.2,18.4,16,12,12,16,101,92,92,101,4,-4,0.8,-0.8,27.6,27.2
Fracture,-1,T,CT,167.0,230.4,9.8,14.8,9,8,8,9,49,74,74,49,1,-1,0.2,-0.2,28.8,25.6
Haven,-1,T,CT,212.2,195.6,17.6,16.0,12,12,12,12,88,80,80,88,0,0,0.0,0.0,24.2,25.4
Split,-1,CT,T,157.4,235.2,8.2,14.8,6,11,11,6,41,74,74,41,-5,5,-1.0,1.0,22.0,28.2
Ascent,1,T,CT,207.8,203.6,18.0,16.8,12,12,12,12,90,84,84,90,0,0,0.0,0.0,31.4,31.6
Breeze,-1,T,CT,205.0,215.6,15.2,17.2,12,10,10,12,76,86,86,76,2,-2,0.4,-0.4,32.8,31.8
Fracture,1,CT,T,230.8,161.0,14.2,9.4,11,6,6,11,71,47,47,71,5,-5,1.0,-1.0,25.0,29.8
Bind,-1,T,CT,192.6,198.2,14.2,15.2,9,13,13,9,71,76,76,71,-4,4,-0.8,0.8,25.6,21.4
Haven,-1,T,CT,190.8,209.8,15.6,17.4,8,16,16,8,78,87,87,78,-8,8,-1.6,1.6,28.4,27.8
Haven,-1,T,CT,145.4,249.8,7.6,14.6,5,11,11,5,38,73,73,38,-6,6,-1.2,1.2,26.6,25.8
Icebox,1,CT,T,218.0,194.8,18.6,16.0,15,9,9,15,93,80,80,93,6,-6,1.2,-1.2,34.8,22.8
Breeze,1,T,CT,233.6,166.8,14.2,8.6,9,7,7,9,71,43,43,71,2,-2,0.4,-0.4,29.8,24.0
Bind,1,T,CT,212.0,198.8,17.6,16.0,13,10,10,13,88,80,80,88,3,-3,0.6,-0.6,31.4,28.6
Fracture,-1,T,CT,215.8,211.8,19.6,19.4,11,15,15,11,98,97,97,98,-4,4,-0.8,0.8,26.2,25.2
Icebox,1,T,CT,218.6,185.0,15.8,12.4,12,8,8,12,79,62,62,79,4,-4,0.8,-0.8,28.4,25.4
Ascent,1,T,CT,199.4,170.8,15.2,12.6,9,13,13,9,76,63,64,76,-4,4,-0.8,0.8,21.8,28.6
Breeze,1,T,CT,196.4,182.0,14.4,13.0,11,9,9,11,72,65,65,72,2,-2,0.4,-0.4,27.2,32.6
Ascent,1,T,CT,209.0,187.0,16.4,14.2,10,12,12,10,82,71,71,82,-2,2,-0.4,0.4,23.2,27.0
Split,-1,CT,T,176.2,212.6,13.0,17.0,14,8,8,14,65,85,85,65,6,-6,1.2,-1.2,26.8,28.8
Icebox,1,CT,T,239.6,186.6,16.2,11.8,10,9,9,10,81,59,59,81,1,-1,0.2,-0.2,22.6,29.0
Haven,1,T,CT,213.8,154.4,14.6,10.0,12,7,7,12,73,50,50,73,5,-5,1.0,-1.0,24.6,20.2
Breeze,-1,T,CT,161.2,245.4,8.6,15.4,4,13,13,4,43,77,77,43,-9,9,-1.8,1.8,19.0,22.8
Ascent,-1,T,CT,182.6,183.4,13.6,14.8,7,15,15,7,68,74,74,68,-8,8,-1.6,1.6,28.4,24.4
Split,-1,CT,T,194.0,223.0,13.4,16.4,9,11,11,9,67,82,82,67,-2,2,-0.4,0.4,30.2,24.6
Fracture,1,CT,T,227.0,160.8,14.2,9.0,12,5,5,12,71,45,45,71,7,-7,1.4,-1.4,22.4,23.0
Ascent,1,T,CT,210.4,192.0,16.4,14.4,13,9,9,13,82,72,73,82,4,-4,0.8,-0.8,24.2,26.6
Icebox,-1,T,CT,174.2,225.0,12.4,16.8,8,13,13,8,62,84,84,62,-5,5,-1.0,1.0,17.6,23.2
Breeze,-1,CT,T,178.6,226.4,12.4,17.2,11,10,10,11,62,86,86,62,1,-1,0.2,-0.2,29.6,23.6
Ascent,1,T,CT,219.2,173.2,15.8,11.6,14,6,6,14,79,58,58,79,8,-8,1.6,-1.6,23.0,22.6
Bind,1,T,CT,250.4,150.8,14.0,7.2,10,5,5,10,70,36,36,70,5,-5,1.0,-1.0,27.8,26.2
Icebox,1,T,CT,225.4,184.0,16.8,13.4,11,10,10,11,84,67,67,84,1,-1,0.2,-0.2,29.0,22.6
Fracture,1,CT,T,238.2,142.6,15.4,7.4,11,6,6,11,77,37,37,77,5,-5,1.0,-1.0,24.4,30.8
Breeze,1,T,CT,230.8,185.6,15.0,11.2,10,8,8,10,75,56,56,75,2,-2,0.4,-0.4,30.4,24.6
Bind,1,T,CT,220.0,197.8,18.4,16.6,12,12,12,12,92,83,83,92,0,0,0.0,0.0,20.8,28.6
Split,1,CT,T,247.6,151.4,14.8,7.8,8,8,8,8,74,39,39,74,0,0,0.0,0.0,26.6,36.2
Icebox,1,CT,T,242.0,129.8,13.6,6.2,12,3,3,12,68,31,31,68,9,-9,1.8,-1.8,24.2,18.4
Bind,-1,T,CT,183.6,212.0,12.6,15.6,8,12,12,8,63,78,78,63,-4,4,-0.8,0.8,27.8,23.6
Ascent,-1,T,CT,164.0,254.4,7.2,13.2,1,13,13,1,36,66,66,36,-12,12,-2.4,2.4,34.4,18.8
Haven,1,T,CT,219.8,156.8,16.2,11.6,8,13,13,8,81,58,58,81,-5,5,-1.0,1.0,23.2,24.0
Fracture,-1,CT,T,156.4,224.6,8.8,13.8,5,12,12,5,44,69,69,44,-7,7,-1.4,1.4,20.2,23.8
Ascent,1,CT,T,223.0,160.8,14.6,9.6,10,9,9,10,73,48,48,73,1,-1,0.2,-0.2,24.8,24.4
Haven,1,CT,T,204.4,199.6,17.6,17.2,14,10,10,14,88,86,86,88,4,-4,0.8,-0.8,27.8,29.4
Fracture,-1,T,CT,169.4,237.2,10.2,15.4,5,13,13,5,51,77,77,51,-8,8,-1.6,1.6,17.4,16.8
Icebox,-1,T,CT,209.0,217.4,18.8,19.8,15,11,11,15,94,99,99,94,4,-4,0.8,-0.8,19.4,29.4
Breeze,-1,CT,T,188.8,232.0,13.8,17.2,9,12,12,9,69,86,86,69,-3,3,-0.6,0.6,23.6,28.0
Icebox,-1,CT,T,171.2,225.6,10.0,14.6,8,10,10,8,50,73,73,50,-2,2,-0.4,0.4,23.6,23.8
Haven,1,T,CT,236.8,162.8,14.4,7.6,8,8,8,8,72,38,38,72,0,0,0.0,0.0,29.8,23.4
Ascent,-1,T,CT,198.6,214.8,15.4,17.4,13,10,10,13,77,87,87,77,3,-3,0.6,-0.6,26.8,22.6
Icebox,-1,CT,T,185.6,213.4,12.8,16.8,7,14,14,7,64,84,84,64,-7,7,-1.4,1.4,21.8,21.8
Icebox,1,T,CT,225.4,184.0,16.8,13.4,11,10,10,11,84,67,67,84,1,-1,0.2,-0.2,29.0,22.6
Fracture,1,CT,T,238.2,142.6,15.4,7.4,11,6,6,11,77,37,37,77,5,-5,1.0,-1.0,24.4,30.8
Breeze,1,T,CT,230.8,185.6,15.0,11.2,10,8,8,10,75,56,56,75,2,-2,0.4,-0.4,30.4,24.6
Haven,1,T,CT,236.8,162.8,14.4,7.6,8,8,8,8,72,38,38,72,0,0,0.0,0.0,29.8,23.4
Ascent,-1,T,CT,198.6,214.8,15.4,17.4,13,10,10,13,77,87,87,77,3,-3,0.6,-0.6,26.8,22.6
Icebox,-1,CT,T,185.6,213.4,12.8,16.8,7,14,14,7,64,84,84,64,-7,7,-1.4,1.4,21.8,21.8
Breeze,-1,CT,T,188.8,232.0,13.8,17.2,9,12,12,9,69,86,86,69,-3,3,-0.6,0.6,23.6,28.0
Icebox,-1,CT,T,171.2,225.6,10.0,14.6,8,10,10,8,50,73,73,50,-2,2,-0.4,0.4,23.6,23.8
Ascent,1,T,CT,219.2,173.2,15.8,11.6,14,6,6,14,79,58,58,79,8,-8,1.6,-1.6,23.0,22.6
Bind,1,T,CT,250.4,150.8,14.0,7.2,10,5,5,10,70,36,36,70,5,-5,1.0,-1.0,27.8,26.2
Haven,1,CT,T,204.4,199.6,17.6,17.2,14,10,10,14,88,86,86,88,4,-4,0.8,-0.8,27.8,29.4
Fracture,-1,T,CT,169.4,237.2,10.2,15.4,5,13,13,5,51,77,77,51,-8,8,-1.6,1.6,17.4,16.8
Icebox,-1,T,CT,209.0,217.4,18.8,19.8,15,11,11,15,94,99,99,94,4,-4,0.8,-0.8,19.4,29.4
Haven,-1,T,CT,154.0,238.4,9.8,16.8,7,12,12,7,49,84,84,49,-5,5,-1.0,1.0,30.8,19.8
Split,1,CT,T,228.0,188.4,17.6,13.0,9,12,12,9,88,65,65,88,-3,3,-0.6,0.6,24.4,21.6
Ascent,1,CT,T,234.0,204.4,19.0,16.2,13,10,10,13,95,81,81,95,3,-3,0.6,-0.6,27.4,21.2
Ascent,1,CT,T,238.2,107.6,13.2,5.0,11,4,4,11,66,25,25,66,7,-7,1.4,-1.4,30.2,24.4
Bind,1,T,CT,221.0,168.2,18.0,13.2,11,12,12,11,90,66,66,90,-1,1,-0.2,0.2,23.0,22.0
Split,1,CT,T,228.0,191.2,15.6,12.0,9,10,10,9,78,60,60,78,-1,1,-0.2,0.2,24.0,25.8
Bind,1,T,CT,219.8,197.6,22.8,20.4,17,13,13,17,114,102,102,114,4,-4,0.8,-0.8,24.8,28.8
Icebox,-1,CT,T,173.4,247.8,8.0,13.8,7,8,8,7,40,69,69,40,-1,1,-0.2,0.2,15.8,28.2
Breeze,-1,CT,T,169.4,213.4,11.6,14.8,8,12,12,8,58,74,74,58,-4,4,-0.8,0.8,25.8,24.4
Bind,1,CT,T,224.0,168.6,16.2,10.8,12,8,8,12,81,54,54,82,4,-4,0.8,-0.8,30.6,29.0
Split,-1,T,CT,192.8,222.0,15.0,17.4,11,12,12,11,75,87,87,75,-1,1,-0.2,0.2,24.2,23.4
Haven,1,T,CT,214.2,176.0,16.6,14.2,14,9,9,14,83,71,71,83,5,-5,1.0,-1.0,25.0,25.0
Haven,1,CT,T,214.4,198.2,17.0,15.6,14,9,9,14,85,78,78,85,5,-5,1.0,-1.0,27.4,26.4
Split,1,T,CT,229.0,200.2,17.0,14.2,12,9,9,12,85,71,71,85,3,-3,0.6,-0.6,21.4,20.2
Fracture,-1,CT,T,171.2,226.0,12.2,16.6,5,15,15,5,61,83,83,61,-10,10,-2.0,2.0,18.2,27.2
Ascent,-1,T,CT,195.2,217.4,14.8,16.6,7,15,15,7,74,83,83,74,-8,8,-1.6,1.6,27.4,17.4
Icebox,-1,CT,T,200.8,218.8,16.6,18.4,11,13,13,11,83,92,92,83,-2,2,-0.4,0.4,25.8,24.2
Haven,1,T,CT,213.6,166.6,13.2,9.2,9,8,8,9,66,46,46,66,1,-1,0.2,-0.2,26.2,27.6
Fracture,-1,CT,T,178.4,235.4,10.4,14.6,8,9,9,8,52,73,73,52,-1,1,-0.2,0.2,23.6,26.0
Ascent,-1,CT,T,188.2,216.4,12.6,15.6,10,10,10,10,63,78,78,63,0,0,0.0,0.0,22.2,27.0
Bind,1,T,CT,188.4,176.4,15.6,14.4,9,15,15,9,78,72,72,78,-6,6,-1.2,1.2,25.0,26.2
Haven,-1,CT,T,168.6,235.0,8.8,13.6,7,9,9,7,44,68,68,44,-2,2,-0.4,0.4,26.4,29.0
Icebox,-1,T,CT,196.4,231.6,17.6,20.8,10,16,16,10,88,104,104,88,-6,6,-1.2,1.2,27.4,28.0
Bind,1,T,CT,217.0,190.2,18.0,14.8,12,11,11,12,90,74,74,90,1,-1,0.2,-0.2,28.0,20.4
Haven,1,CT,T,210.6,208.8,15.4,15.0,11,10,10,11,77,75,75,77,1,-1,0.2,-0.2,28.2,19.2
Bind,-1,CT,T,190.8,223.4,13.2,16.0,8,12,12,8,66,80,80,66,-4,4,-0.8,0.8,31.4,28.8
Haven,-1,T,CT,182.8,214.2,13.2,16.2,10,11,11,10,66,81,81,66,-1,1,-0.2,0.2,21.2,30.2
Ascent,1,T,CT,218.4,189.0,17.2,14.2,14,9,9,14,86,71,71,86,5,-5,1.0,-1.0,24.6,22.6
Split,1,CT,T,233.4,204.8,15.8,12.4,11,8,8,11,79,62,62,79,3,-3,0.6,-0.6,28.6,28.8
Ascent,-1,CT,T,199.4,231.8,15.0,18.0,6,16,16,6,75,90,90,75,-10,10,-2.0,2.0,29.4,25.2
Icebox,-1,T,CT,175.6,235.8,13.0,17.4,9,12,12,9,65,87,87,65,-3,3,-0.6,0.6,25.2,29.6
Breeze,1,T,CT,201.4,204.2,14.0,13.2,11,8,8,11,70,66,66,70,3,-3,0.6,-0.6,27.4,23.0
Haven,1,T,CT,222.0,169.6,17.2,12.8,13,9,9,13,86,64,64,86,4,-4,0.8,-0.8,26.6,21.8
Icebox,-1,CT,T,200.8,218.8,16.6,18.4,11,13,13,11,83,92,92,83,-2,2,-0.4,0.4,25.8,24.2
Haven,1,T,CT,213.6,166.6,13.2,9.2,9,8,8,9,66,46,46,66,1,-1,0.2,-0.2,26.2,27.6
Fracture,-1,CT,T,178.4,235.4,10.4,14.6,8,9,9,8,52,73,73,52,-1,1,-0.2,0.2,23.6,26.0
Ascent,-1,CT,T,188.2,216.4,12.6,15.6,10,10,10,10,63,78,78,63,0,0,0.0,0.0,22.2,27.0
Breeze,1,T,CT,201.4,204.2,14.0,13.2,11,8,8,11,70,66,66,70,3,-3,0.6,-0.6,27.4,23.0
Haven,1,T,CT,222.0,169.6,17.2,12.8,13,9,9,13,86,64,64,86,4,-4,0.8,-0.8,26.6,21.8
Fracture,-1,CT,T,171.2,226.0,12.2,16.6,5,15,15,5,61,83,83,61,-10,10,-2.0,2.0,18.2,27.2
Ascent,-1,T,CT,195.2,217.4,14.8,16.6,7,15,15,7,74,83,83,74,-8,8,-1.6,1.6,27.4,17.4
Ascent,-1,CT,T,199.4,231.8,15.0,18.0,6,16,16,6,75,90,90,75,-10,10,-2.0,2.0,29.4,25.2
Icebox,-1,T,CT,175.6,235.8,13.0,17.4,9,12,12,9,65,87,87,65,-3,3,-0.6,0.6,25.2,29.6
Ascent,1,T,CT,218.4,189.0,17.2,14.2,14,9,9,14,86,71,71,86,5,-5,1.0,-1.0,24.6,22.6
Split,1,CT,T,233.4,204.8,15.8,12.4,11,8,8,11,79,62,62,79,3,-3,0.6,-0.6,28.6,28.8
Bind,-1,T,CT,205.6,223.2,14.2,15.8,10,10,10,10,71,79,79,71,0,0,0.0,0.0,26.0,32.6
Haven,1,CT,T,205.6,211.6,17.4,17.8,13,11,11,13,87,89,89,87,2,-2,0.4,-0.4,34.4,24.2
Fracture,1,CT,T,206.6,160.2,13.6,10.4,11,8,8,11,68,52,52,68,3,-3,0.6,-0.6,22.2,20.6
Breeze,1,T,CT,205.0,203.0,17.4,17.0,11,13,13,11,87,85,85,87,-2,2,-0.4,0.4,31.4,24.6
Bind,1,T,CT,226.6,203.4,19.2,16.4,13,11,11,13,96,82,82,97,2,-2,0.4,-0.4,36.6,22.8
Bind,1,T,CT,218.6,168.2,15.4,11.8,13,7,7,13,77,59,59,77,6,-6,1.2,-1.2,32.2,29.8
Haven,1,T,CT,243.6,143.2,14.2,7.4,11,5,5,11,71,37,37,71,6,-6,1.2,-1.2,27.8,22.4
Bind,1,CT,T,223.0,123.6,13.4,6.0,11,5,5,11,67,30,30,67,6,-6,1.2,-1.2,24.0,37.8
Haven,-1,T,CT,194.4,195.0,15.6,16.4,13,11,11,13,78,82,82,78,2,-2,0.4,-0.4,25.8,44.8
Ascent,-1,CT,T,163.6,237.8,8.4,13.8,7,9,9,7,42,69,69,42,-2,2,-0.4,0.4,19.6,37.4
Fracture,1,CT,T,227.0,165.6,16.8,11.8,11,10,10,11,84,59,59,84,1,-1,0.2,-0.2,29.4,31.6
Split,1,T,CT,204.2,196.4,17.0,15.8,13,10,10,13,85,79,79,85,3,-3,0.6,-0.6,25.2,37.0
Split,1,T,CT,236.6,158.8,14.6,9.0,12,5,5,12,73,45,45,73,7,-7,1.4,-1.4,25.4,25.2
Haven,1,T,CT,223.0,194.0,17.0,14.6,15,7,7,15,85,73,73,85,8,-8,1.6,-1.6,28.4,26.2
Ascent,1,T,CT,237.0,159.4,14.0,8.0,13,3,3,13,70,40,40,70,10,-10,2.0,-2.0,27.4,22.8
Bind,-1,T,CT,212.8,190.6,17.6,16.4,14,10,10,14,88,82,82,88,4,-4,0.8,-0.8,17.8,23.0
Fracture,-1,T,CT,159.0,245.0,7.8,14.2,7,9,9,7,39,71,71,39,-2,2,-0.4,0.4,23.4,20.0
Split,1,CT,T,208.8,196.2,18.2,17.2,12,14,14,12,91,86,86,91,-2,2,-0.4,0.4,22.8,21.2
Bind,-1,T,CT,192.8,209.0,15.6,16.0,7,16,16,7,78,80,80,78,-9,9,-1.8,1.8,23.0,26.2
Haven,1,T,CT,202.6,195.2,13.6,12.6,9,10,10,9,68,63,63,69,-1,1,-0.2,0.2,26.0,27.2
Breeze,1,T,CT,211.8,184.2,15.8,12.2,15,5,5,15,79,61,61,79,10,-10,2.0,-2.0,25.8,20.8
Bind,1,CT,T,213.4,189.8,15.0,12.8,9,11,11,9,75,64,64,75,-2,2,-0.4,0.4,21.4,25.2
Ascent,-1,T,CT,204.4,215.0,15.2,16.8,11,11,11,11,76,84,84,76,0,0,0.0,0.0,37.8,23.8
Haven,1,T,CT,207.2,189.8,14.4,12.0,6,13,13,6,72,60,60,72,-7,7,-1.4,1.4,33.6,27.8
Split,-1,T,CT,187.2,253.2,9.8,14.8,7,9,9,7,49,74,74,49,-2,2,-0.4,0.4,33.0,24.2
Breeze,-1,T,CT,200.8,201.6,20.8,21.2,15,15,15,15,104,106,106,104,0,0,0.0,0.0,36.8,25.8
Split,1,T,CT,236.6,158.8,14.6,9.0,12,5,5,12,73,45,45,73,7,-7,1.4,-1.4,25.4,25.2
Haven,1,T,CT,223.0,194.0,17.0,14.6,15,7,7,15,85,73,73,85,8,-8,1.6,-1.6,28.4,26.2
Ascent,1,T,CT,237.0,159.4,14.0,8.0,13,3,3,13,70,40,40,70,10,-10,2.0,-2.0,27.4,22.8
Ascent,-1,T,CT,204.4,215.0,15.2,16.8,11,11,11,11,76,84,84,76,0,0,0.0,0.0,37.8,23.8
Haven,1,T,CT,207.2,189.8,14.4,12.0,6,13,13,6,72,60,60,72,-7,7,-1.4,1.4,33.6,27.8
Split,-1,T,CT,187.2,253.2,9.8,14.8,7,9,9,7,49,74,74,49,-2,2,-0.4,0.4,33.0,24.2
Breeze,-1,T,CT,200.8,201.6,20.8,21.2,15,15,15,15,104,106,106,104,0,0,0.0,0.0,36.8,25.8
Breeze,1,T,CT,211.8,184.2,15.8,12.2,15,5,5,15,79,61,61,79,10,-10,2.0,-2.0,25.8,20.8
Bind,1,CT,T,213.4,189.8,15.0,12.8,9,11,11,9,75,64,64,75,-2,2,-0.4,0.4,21.4,25.2
Fracture,1,CT,T,227.0,165.6,16.8,11.8,11,10,10,11,84,59,59,84,1,-1,0.2,-0.2,29.4,31.6
Split,1,T,CT,204.2,196.4,17.0,15.8,13,10,10,13,85,79,79,85,3,-3,0.6,-0.6,25.2,37.0
Split,1,CT,T,208.8,196.2,18.2,17.2,12,14,14,12,91,86,86,91,-2,2,-0.4,0.4,22.8,21.2
Bind,-1,T,CT,192.8,209.0,15.6,16.0,7,16,16,7,78,80,80,78,-9,9,-1.8,1.8,23.0,26.2
Haven,1,T,CT,202.6,195.2,13.6,12.6,9,10,10,9,68,63,63,69,-1,1,-0.2,0.2,26.0,27.2
Bind,1,T,CT,211.2,201.6,16.8,15.8,12,11,11,12,84,79,79,84,1,-1,0.2,-0.2,24.4,23.2
Haven,1,CT,T,204.4,184.4,16.8,14.4,14,9,9,14,84,72,72,84,5,-5,1.0,-1.0,29.2,26.2
Haven,-1,T,CT,190.8,204.4,14.8,16.8,9,14,14,9,74,84,84,74,-5,5,-1.0,1.0,20.0,32.8
Bind,-1,CT,T,144.2,227.6,8.2,15.2,6,12,12,6,41,76,76,41,-6,6,-1.2,1.2,27.0,34.2
Breeze,1,T,CT,223.6,137.0,12.4,6.2,5,9,9,5,62,31,31,62,-4,4,-0.8,0.8,31.4,27.4
Split,1,CT,T,240.8,165.0,15.0,8.8,12,5,5,12,75,44,44,75,7,-7,1.4,-1.4,20.4,24.0
Breeze,1,T,CT,223.6,137.0,12.4,6.2,5,9,9,5,62,31,31,62,-4,4,-0.8,0.8,31.4,27.4
Split,1,CT,T,240.8,165.0,15.0,8.8,12,5,5,12,75,44,44,75,7,-7,1.4,-1.4,20.4,24.0
Bind,1,T,CT,211.2,201.6,16.8,15.8,12,11,11,12,84,79,79,84,1,-1,0.2,-0.2,24.4,23.2
Haven,1,CT,T,204.4,184.4,16.8,14.4,14,9,9,14,84,72,72,84,5,-5,1.0,-1.0,29.2,26.2
Haven,-1,T,CT,190.8,204.4,14.8,16.8,9,14,14,9,74,84,84,74,-5,5,-1.0,1.0,20.0,32.8
Bind,-1,CT,T,144.2,227.6,8.2,15.2,6,12,12,6,41,76,76,41,-6,6,-1.2,1.2,27.0,34.2
Ascent,-1,T,CT,158.6,220.8,9.8,15.0,7,12,12,7,49,75,75,49,-5,5,-1.0,1.0,23.0,22.0
Fracture,-1,T,CT,181.4,224.8,13.0,16.8,9,12,12,9,65,84,84,65,-3,3,-0.6,0.6,26.2,20.6
Bind,-1,CT,T,180.0,211.6,12.0,14.6,7,13,13,7,60,73,74,60,-6,6,-1.2,1.2,28.4,26.4
Breeze,1,CT,T,203.4,204.4,15.4,15.4,11,11,11,11,77,77,77,77,0,0,0.0,0.0,24.2,26.4
Haven,-1,T,CT,192.4,227.2,12.4,15.8,10,9,9,10,62,79,79,62,1,-1,0.2,-0.2,25.0,33.4
Haven,1,T,CT,237.0,172.4,15.4,9.4,7,10,10,7,77,47,47,77,-3,3,-0.6,0.6,26.6,25.2
Icebox,1,CT,T,258.6,148.6,14.4,7.2,12,3,3,12,72,36,36,72,9,-9,1.8,-1.8,16.6,22.2
Haven,1,T,CT,237.0,172.4,15.4,9.4,7,10,10,7,77,47,47,77,-3,3,-0.6,0.6,26.6,25.2
Icebox,1,CT,T,258.6,148.6,14.4,7.2,12,3,3,12,72,36,36,72,9,-9,1.8,-1.8,16.6,22.2
Ascent,-1,T,CT,158.6,220.8,9.8,15.0,7,12,12,7,49,75,75,49,-5,5,-1.0,1.0,23.0,22.0
Fracture,-1,T,CT,181.4,224.8,13.0,16.8,9,12,12,9,65,84,84,65,-3,3,-0.6,0.6,26.2,20.6
Bind,-1,CT,T,180.0,211.6,12.0,14.6,7,13,13,7,60,73,74,60,-6,6,-1.2,1.2,28.4,26.4
Breeze,1,CT,T,203.4,204.4,15.4,15.4,11,11,11,11,77,77,77,77,0,0,0.0,0.0,24.2,26.4
Haven,-1,T,CT,192.4,227.2,12.4,15.8,10,9,9,10,62,79,79,62,1,-1,0.2,-0.2,25.0,33.4
Fracture,1,CT,T,231.0,187.4,16.4,12.4,13,7,7,13,82,62,62,82,6,-6,1.2,-1.2,24.4,24.8
Breeze,1,CT,T,230.4,179.6,15.0,11.0,12,6,6,12,75,55,55,75,6,-6,1.2,-1.2,29.6,30.2
Haven,1,CT,T,212.6,186.0,16.2,14.2,13,9,9,13,81,71,71,81,4,-4,0.8,-0.8,21.8,28.6
Bind,1,T,CT,217.0,193.2,18.8,16.0,11,13,13,11,94,80,80,94,-2,2,-0.4,0.4,24.0,24.8
Fracture,1,CT,T,227.6,169.8,16.8,12.0,15,6,6,15,84,60,60,84,9,-9,1.8,-1.8,28.4,25.0
Ascent,1,T,CT,218.8,201.4,18.2,16.8,16,8,8,16,91,84,84,91,8,-8,1.6,-1.6,32.6,28.6
Breeze,1,T,CT,213.2,165.8,17.6,13.4,16,7,7,16,88,67,67,88,9,-9,1.8,-1.8,31.2,31.2
Ascent,-1,CT,T,196.2,215.6,15.2,17.6,6,17,17,6,76,88,88,76,-11,11,-2.2,2.2,31.0,31.8
Haven,1,CT,T,203.0,206.2,17.0,16.8,12,12,12,12,85,84,84,85,0,0,0.0,0.0,31.4,29.8
Icebox,-1,CT,T,212.8,233.6,19.4,21.2,18,8,8,18,97,106,106,97,10,-10,2.0,-2.0,28.6,26.0
Ascent,1,T,CT,215.6,200.0,18.4,16.4,10,14,14,10,92,82,83,92,-4,4,-0.8,0.8,28.6,26.8
Haven,1,T,CT,220.0,165.8,16.0,11.0,12,8,8,12,80,55,55,80,4,-4,0.8,-0.8,30.6,20.6
Ascent,1,T,CT,199.6,191.2,17.6,18.0,9,17,17,9,88,90,90,88,-8,8,-1.6,1.6,28.4,26.6
Split,-1,CT,T,187.0,229.8,12.2,16.2,4,15,15,4,61,81,81,61,-11,11,-2.2,2.2,23.6,27.4
Haven,1,T,CT,206.0,182.6,17.0,15.4,9,15,15,9,85,77,77,85,-6,6,-1.2,1.2,27.2,24.6
Fracture,-1,CT,T,202.4,200.6,14.4,15.4,10,11,11,10,72,77,77,72,-1,1,-0.2,0.2,29.4,28.2
Bind,-1,CT,T,190.6,216.2,14.4,17.2,13,9,9,13,72,86,86,72,4,-4,0.8,-0.8,25.4,24.8
Bind,1,CT,T,214.8,210.2,17.0,16.8,13,10,10,13,85,84,84,85,3,-3,0.6,-0.6,30.8,27.4
Fracture,-1,CT,T,196.2,209.8,16.0,17.6,10,14,14,10,80,88,88,80,-4,4,-0.8,0.8,27.0,27.0
Haven,1,CT,T,195.8,187.0,17.0,15.8,13,11,11,13,85,79,79,85,2,-2,0.4,-0.4,30.4,27.8
Icebox,1,CT,T,221.4,197.8,17.8,15.6,14,9,9,14,89,78,78,89,5,-5,1.0,-1.0,32.2,23.6
Ascent,1,T,CT,205.6,206.6,20.2,19.2,12,16,16,12,101,96,96,101,-4,4,-0.8,0.8,27.4,28.0
Bind,1,T,CT,206.6,180.4,17.0,15.2,16,8,8,16,85,76,76,85,8,-8,1.6,-1.6,28.6,27.4
Breeze,1,CT,T,241.2,159.6,15.4,9.0,14,3,3,14,77,45,45,77,11,-11,2.2,-2.2,25.6,21.8
Ascent,-1,T,CT,175.6,212.0,12.8,15.8,8,13,13,8,64,79,79,64,-5,5,-1.0,1.0,28.4,26.6
Fracture,-1,CT,T,158.2,238.2,9.6,15.8,10,8,8,10,48,79,79,48,2,-2,0.4,-0.4,27.2,33.8
Ascent,1,T,CT,199.6,191.2,17.6,18.0,9,17,17,9,88,90,90,88,-8,8,-1.6,1.6,28.4,26.6
